 [2017-01-16 18:03:56,996] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,003] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.service.impl.ContractProductServiceImpl]: ResourceElement for jk.dao.ContractProductDao jk.service.impl.ContractProductServiceImpl.contractProductDao] 
 [2017-01-16 18:03:57,004] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.service.impl.ContractProductServiceImpl]: ResourceElement for jk.dao.ExtCproductDao jk.service.impl.ContractProductServiceImpl.extCproductDao] 
 [2017-01-16 18:03:57,005] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'contractProductServiceImpl' to allow for resolving potential circular references] 
 [2017-01-16 18:03:57,009] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'contractProductServiceImpl': ResourceElement for jk.dao.ContractProductDao jk.service.impl.ContractProductServiceImpl.contractProductDao] 
 [2017-01-16 18:03:57,011] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'contractProductDao'] 
 [2017-01-16 18:03:57,012] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'contractProductServiceImpl': ResourceElement for jk.dao.ExtCproductDao jk.service.impl.ContractProductServiceImpl.extCproductDao] 
 [2017-01-16 18:03:57,013] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'extCproductDao'] 
 [2017-01-16 18:03:57,014] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,014] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,018] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:460)] [Finished creating instance of bean 'contractProductServiceImpl'] 
 [2017-01-16 18:03:57,019] [DEBUG] [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:215)] [Creating shared instance of singleton bean 'contractServiceImpl'] 
 [2017-01-16 18:03:57,019] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:432)] [Creating instance of bean 'contractServiceImpl'] 
 [2017-01-16 18:03:57,019] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,022] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.service.impl.ContractServiceImpl]: ResourceElement for jk.dao.ContractDao jk.service.impl.ContractServiceImpl.contracDao] 
 [2017-01-16 18:03:57,023] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'contractServiceImpl' to allow for resolving potential circular references] 
 [2017-01-16 18:03:57,027] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'contractServiceImpl': ResourceElement for jk.dao.ContractDao jk.service.impl.ContractServiceImpl.contracDao] 
 [2017-01-16 18:03:57,027] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'contracDao'] 
 [2017-01-16 18:03:57,028] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
